Organisation Name,Datafeed ID,% AVL to Timetables feed matching score,Latest matching report URL
Delaine Buses,681,15.0,https://publish.bus-data.dft.gov.uk/org/28/dataset/avl/681/download-matching-report/
Hams Travel,684,0.0,https://publish.bus-data.dft.gov.uk/org/78/dataset/avl/684/download-matching-report/
Arriva UK Bus,705,96.0,https://publish.bus-data.dft.gov.uk/org/63/dataset/avl/705/download-matching-report/
Arriva UK Bus,706,97.0,https://publish.bus-data.dft.gov.uk/org/63/dataset/avl/706/download-matching-report/
Arriva UK Bus,707,98.0,https://publish.bus-data.dft.gov.uk/org/63/dataset/avl/707/download-matching-report/
Arriva UK Bus,708,97.0,https://publish.bus-data.dft.gov.uk/org/63/dataset/avl/708/download-matching-report/
Arriva UK Bus,709,98.0,https://publish.bus-data.dft.gov.uk/org/63/dataset/avl/709/download-matching-report/
Arriva UK Bus,710,98.0,https://publish.bus-data.dft.gov.uk/org/63/dataset/avl/710/download-matching-report/
Arriva UK Bus,712,98.0,https://publish.bus-data.dft.gov.uk/org/63/dataset/avl/712/download-matching-report/
Metroline Travel,738,0.0,https://publish.bus-data.dft.gov.uk/org/24/dataset/avl/738/download-matching-report/
York Pullman Bus Company,781,71.0,https://publish.bus-data.dft.gov.uk/org/254/dataset/avl/781/download-matching-report/
Go-Ahead,783,92.0,https://publish.bus-data.dft.gov.uk/org/10/dataset/avl/783/download-matching-report/
Ambassador Travel,795,60.0,https://publish.bus-data.dft.gov.uk/org/199/dataset/avl/795/download-matching-report/
Tyrers Coaches,833,60.0,https://publish.bus-data.dft.gov.uk/org/220/dataset/avl/833/download-matching-report/
Border Bus,862,84.0,https://publish.bus-data.dft.gov.uk/org/46/dataset/avl/862/download-matching-report/
Lynx,640,98.0,https://publish.bus-data.dft.gov.uk/org/33/dataset/avl/640/download-matching-report/
E Stott & Sons Ltd,937,75.0,https://publish.bus-data.dft.gov.uk/org/287/dataset/avl/937/download-matching-report/
CT4N Ltd,938,100.0,https://publish.bus-data.dft.gov.uk/org/224/dataset/avl/938/download-matching-report/
Suffolk Norse,1057,,
Henry Cooper Coaches,1070,,
Red Eagle,1095,0.0,https://publish.bus-data.dft.gov.uk/org/255/dataset/avl/1095/download-matching-report/
DRM Coaches,1154,0.0,https://publish.bus-data.dft.gov.uk/org/31/dataset/avl/1154/download-matching-report/
tallyho coaches,1187,59.0,https://publish.bus-data.dft.gov.uk/org/227/dataset/avl/1187/download-matching-report/
Bullocks Coaches,1203,,
Phoenix Taxis & Minicoaches,1209,0.0,https://publish.bus-data.dft.gov.uk/org/565/dataset/avl/1209/download-matching-report/
Axe Valley Mini Travel,1253,10.0,https://publish.bus-data.dft.gov.uk/org/222/dataset/avl/1253/download-matching-report/
Finches,1305,,
LMS Travel,1312,72.0,https://publish.bus-data.dft.gov.uk/org/168/dataset/avl/1312/download-matching-report/
Roberts Travel Group,1330,95.0,https://publish.bus-data.dft.gov.uk/org/153/dataset/avl/1330/download-matching-report/
OTS,1381,40.0,https://publish.bus-data.dft.gov.uk/org/495/dataset/avl/1381/download-matching-report/
Redline Buses,1388,41.0,https://publish.bus-data.dft.gov.uk/org/112/dataset/avl/1388/download-matching-report/
Go Goodwins Coaches Ltd,1431,,
